fight_id,event_id,date,r_name,b_name,r_age,b_age,r_height,b_height,r_weight,b_weight,weight_class,rprev,bprev,bstreak,winner,r_win,win_method,last_round,max_round,height_diff,age_diff,r_sig_strikes_landed,r_sig_strikes_attempted,r_sig_strike_accuracy,r_total_strikes_landed,r_total_strikes_attempted,r_knockdowns,r_takedowns_landed,r_takedowns_attempted,r_takedown_accuracy,r_sub_attempts,r_head_sig_strikes,r_body_sig_strikes,r_distance_strikes,r_clinch_sig_strikes,r_ground_sig_strikes,r_control_time,b_sig_strikes_landed,b_sig_strikes_attempted,b_sig_strike_accuracy,b_total_strikes_landed,b_total_strikes_attempted,b_knockdowns,b_takedowns_landed,b_takedowns_attempted,b_takedown_accuracy,b_sub_attempts,b_head_sig_strikes,b_body_sig_strikes,b_distance_strikes,b_clinch_sig_strikes,b_ground_sig_strikes,b_control_time,sig_strike_diff,takedown_diff,knockdown_diff,control_time_diff,strike_accuracy_diff
5136,696,2014-12-22,Darren Elkins,Hacran Dias,34.0,34.0,177.0,172.0,65.0,70.0,Featherweight,2,1,0,blue,0,Decision,3,3,5.0,0.0,68.0,291.0,23.367697594501717,159.0,393.0,0.0,1.0,23.0,4.3478260869565215,4.0,39.0,23.0,41.0,26.0,1.0,556.0,31.0,74.0,41.891891891891895,57.0,100.0,0.0,2.0,5.0,40.0,0.0,17.0,8.0,26.0,5.0,0.0,227.0,37.0,-1.0,0.0,329.0,-18.524194297390178
5137,696,2014-12-22,Leandro Issa,Ulka Sasaki,35.0,29.0,170.0,177.0,61.0,56.0,Bantamweight,2,1,1,red,1,Submission,2,3,-7.0,6.0,61.0,193.0,31.606217616580313,89.0,225.0,0.0,4.0,18.0,22.22222222222222,4.0,35.0,5.0,54.0,2.0,5.0,252.0,5.0,8.0,62.5,5.0,8.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,5.0,0.0,0.0,30.0,56.0,4.0,0.0,222.0,-30.893782383419687
5138,696,2014-12-22,Marcio Alexandre Junior,Tim Means,29.0,34.0,182.0,187.0,77.0,77.0,Welterweight,1,2,1,blue,0,Decision,3,3,-5.0,-5.0,8.0,21.0,38.095238095238095,22.0,36.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,2.0,6.0,0.0,2.0,115.0,276.0,41.66666666666667,138.0,300.0,0.0,4.0,8.0,50.0,1.0,62.0,30.0,95.0,13.0,7.0,97.0,-107.0,-4.0,0.0,-95.0,-3.5714285714285765
5085,697,2014-12-16,Joe Proctor,Yancy Medeiros,33.0,31.0,177.0,177.0,77.0,77.0,Welterweight,2,2,1,blue,0,Submission,1,3,0.0,2.0,92.0,255.0,36.07843137254902,101.0,268.0,1.0,0.0,0.0,0.0,1.0,76.0,8.0,73.0,13.0,6.0,17.0,41.0,82.0,50.0,48.0,89.0,0.0,0.0,0.0,0.0,2.0,22.0,17.0,32.0,9.0,0.0,4.0,51.0,0.0,1.0,13.0,-13.92156862745098
5086,697,2016-04-04,Jeremy Stephens,Charles Oliveira,32.0,28.0,175.0,177.0,65.0,70.0,Featherweight,2,2,2,blue,0,Decision,3,3,-2.0,4.0,129.0,372.0,34.67741935483871,142.0,388.0,0.0,1.0,5.0,20.0,0.0,87.0,17.0,126.0,0.0,3.0,256.0,47.0,81.0,58.0246913580247,90.0,131.0,0.0,6.0,13.0,46.15384615384615,4.0,19.0,22.0,10.0,23.0,14.0,160.0,82.0,-5.0,0.0,96.0,-23.347272003185985
5161,697,2014-12-16,Felice Herrig,Lisa Ellis,34.0,35.0,162.0,162.0,52.0,52.0,Strawweight,0,0,0,red,1,Submission,2,3,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5162,697,2014-12-16,Tecia Torres,Angela Magana,29.0,35.0,154.0,154.0,52.0,52.0,Strawweight,0,0,0,red,1,Decision,3,3,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5163,697,2014-12-16,Joanne Calderwood,Seohee Ham,32.0,31.0,167.0,157.0,56.0,52.0,Flyweight,0,0,0,red,1,Decision,3,3,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5164,697,2016-04-26,Bec Rawlings,Heather Jo Clark,29.0,38.0,167.0,167.0,56.0,52.0,Flyweight,0,0,0,blue,0,Decision,3,3,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5165,697,2014-12-16,Aisling Daly,Alex Chambers,30.0,39.0,157.0,160.0,52.0,52.0,Strawweight,0,0,0,red,1,Submission,1,3,-3.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
